episode,guests,score,tabarnak,criss,osti,fuck,caliss,pénis,merde,pédophile,graine,marde,porn,sperme,tabarouette,tabarnouche
150,Boucar Diouf et Louis T,24.6,6,10,4,1,0,null,1,null,1,4,null,null,null,null
130,Marie-Lyne Joncas et Ève Côté,23.4,4,13,1,1,2,2,1,null,null,1,null,null,null,null
182,Pierre-Yves Roy Desmarais et Michel Grenier,23.2,1,13,0,6,2,1,1,null,2,null,null,null,null,null
263,Rosalie Vaillancourt et Rachid Badouri,22.2,4,7,4,3,0,3,1,null,1,1,null,null,null,1
127,Thomas Wiesel et Daniel Tirado,21.8,2,7,2,1,4,null,2,2,4,1,null,1,null,null
166,Dominic Paquet et Martin Rozon,21.6,5,6,5,4,1,1,null,1,null,null,null,null,null,null
121,Arnaud Soly et Jo Cormier,21.2,2,9,3,3,2,1,null,null,1,1,1,1,null,null
117,Sonia Cordeau et Anne-Élisabeth Bossé,20,3,6,3,6,1,1,null,2,null,null,null,null,null,null
205,Neev et Mike Paterson,19,0,1,7,10,0,1,2,null,null,null,null,1,null,null
240,Bruno Blanchet et Jean-Michel Dufaux,18,3,5,4,4,1,1,null,null,null,null,null,2,null,null
247,Pierre Verville et Daniel Lemire,17.8,3,9,1,4,1,null,null,1,null,null,null,null,null,null
204,Martin Matte et Daniel Grenier,17.8,3,5,5,6,0,null,null,null,null,null,null,null,null,null
54,Spécial Gros Show avec Martin Perizzolo et Mario Bélanger,17,4,7,1,2,1,null,null,1,3,null,null,null,null,null
244,Judi Richards et Yvon Deschamps,11.4,1,3,1,6,2,null,null,null,null,null,null,null,null,null
